sale_id,store_id,product_id,date,quantity,unit_price
SL00001,ST05,PD040,2024-07-13,8,460
SL00002,ST06,PD011,2024-08-16,12,492
SL00003,ST02,PD026,2024-04-21,10,10576
SL00004,ST05,PD027,2024-01-14,1,15892
SL00005,ST01,PD029,2024-02-24,10,29306
SL00006,ST04,PD019,2024-06-09,1,1711
SL00007,ST06,PD023,2024-04-04,3,2300
SL00008,ST01,PD003,2024-02-03,3,6235
SL00009,ST01,PD031,2024-05-24,3,4109
SL00010,ST06,PD009,2024-07-08,10,5020
SL00011,ST02,PD015,2024-11-28,12,691
SL00012,ST02,PD009,2024-10-09,2,5020
SL00013,ST02,PD020,2024-04-18,2,5655
SL00014,ST01,PD027,2024-08-08,7,15892
SL00015,ST06,PD040,2024-08-29,5,460
SL00016,ST04,PD020,2024-10-25,8,5655
SL00017,ST04,PD003,2024-02-28,2,6235
SL00018,ST05,PD039,2024-10-23,6,2854
SL00019,ST01,PD005,2024-03-01,6,912
SL00020,ST05,PD032,2024-08-20,3,3341
SL00021,ST05,PD016,2024-01-31,4,1467
SL00022,ST01,PD032,2024-06-13,11,3341
SL00023,ST05,PD024,2024-07-24,1,26387
SL00024,ST04,PD012,2024-06-03,3,655
SL00025,ST04,PD014,2024-04-01,12,412
SL00026,ST03,PD020,2024-09-17,9,5655
SL00027,ST06,PD019,2024-07-11,12,1711
SL00028,ST02,PD038,2024-08-16,2,952
SL00029,ST04,PD018,2024-11-27,9,5356
SL00030,ST03,PD032,2024-01-14,9,3341
SL00031,ST03,PD002,2024-11-26,12,4529
SL00032,ST06,PD030,2024-02-03,2,1814
SL00033,ST05,PD032,2024-05-12,11,3341
SL00034,ST03,PD020,2024-01-26,1,5655
SL00035,ST06,PD010,2024-09-06,5,6383
SL00036,ST05,PD033,2024-05-10,3,1390
SL00037,ST03,PD018,2024-04-28,8,5356
SL00038,ST02,PD039,2024-07-26,7,2854
SL00039,ST01,PD028,2024-05-26,5,8913
SL00040,ST04,PD035,2024-08-22,2,3801
SL00041,ST05,PD008,2024-09-25,2,3556
SL00042,ST01,PD027,2024-09-26,3,15892
