record_id,employee_id,client_id,date,hours,hourly_rate,task_type
BH0001,EM035,CL035,2024-07-20,2.7,5000,Reporting
BH0002,EM030,CL016,2024-08-24,1.7,12000,Fieldwork
BH0003,EM015,CL005,2024-02-26,9.2,5000,Reporting
BH0004,EM025,CL044,2024-07-13,6.7,5000,Review
BH0005,EM008,CL039,2024-05-07,7.0,20000,Fieldwork
BH0006,EM025,CL006,2024-01-13,3.4,5000,Planning
BH0007,EM008,CL054,2024-02-22,8.3,8000,Review
BH0008,EM025,CL043,2024-12-12,6.4,12000,Client Meeting
BH0009,EM027,CL036,2024-10-09,7.0,8000,Review
BH0010,EM005,CL003,2024-04-22,3.4,12000,Fieldwork
BH0011,EM013,CL049,2024-02-05,5.6,5000,Planning
BH0012,EM007,CL020,2024-01-05,9.5,12000,Fieldwork
BH0013,EM015,CL011,2024-06-10,6.7,20000,Planning
BH0014,EM001,CL020,2024-06-08,5.1,12000,Client Meeting
BH0015,EM001,CL037,2024-05-20,8.1,20000,Client Meeting
BH0016,EM007,CL019,2024-12-04,8.4,20000,Planning
BH0017,EM014,CL005,2024-01-12,2.8,12000,Review
BH0018,EM025,CL018,2024-06-10,5.3,8000,Client Meeting
BH0019,EM021,CL043,2024-08-29,6.4,5000,Client Meeting
BH0020,EM018,CL002,2024-04-23,2.9,20000,Review
BH0021,EM017,CL040,2024-11-17,6.2,20000,Fieldwork
BH0022,EM015,CL016,2024-11-07,2.0,8000,Client Meeting
BH0023,EM019,CL006,2024-04-05,8.3,20000,Review
BH0024,EM005,CL001,2024-07-16,1.2,8000,Client Meeting
BH0025,EM029,CL023,2024-04-29,9.5,5000,Review
BH0026,EM032,CL060,2024-07-22,3.2,5000,Fieldwork
BH0027,EM002,CL035,2024-11-04,4.7,12000,Review
BH0028,EM027,CL051,2024-02-18,2.5,8000,Client Meeting
BH0029,EM003,CL025,2024-05-27,1.2,12000,Client Meeting
BH0030,EM019,CL034,2024-07-23,5.2,12000,Planning
BH0031,EM025,CL050,2024-11-21,6.7,12000,Planning
BH0032,EM017,CL034,2024-02-05,5.2,8000,Client Meeting
BH0033,EM007,CL002,2024-01-28,9.3,20000,Client Meeting
BH0034,EM001,CL049,2024-02-06,5.0,8000,Client Meeting
BH0035,EM021,CL037,2024-06-07,6.4,8000,Fieldwork
BH0036,EM029,CL034,2024-02-22,2.0,5000,Client Meeting
BH0037,EM007,CL037,2024-12-26,7.8,5000,Fieldwork
BH0038,EM018,CL040,2024-01-13,2.5,5000,Review
BH0039,EM019,CL019,2024-02-14,9.5,12000,Review
BH0040,EM028,CL029,2024-05-23,3.0,8000,Planning
BH0041,EM020,CL043,2024-10-16,7.6,12000,Review
BH0042,EM011,CL015,2024-10-17,9.9,20000,Fieldwork
BH0043,EM014,CL047,2024-04-29,4.2,5000,Fieldwork
BH0044,EM020,CL040,2024-12-21,8.2,8000,Client Meeting
BH0045,EM026,CL023,2024-04-19,7.5,5000,Planning
BH0046,EM031,CL042,2024-08-21,3.1,20000,Reporting
BH0047,EM020,CL049,2024-08-06,7.3,8000,Review
BH0048,EM033,CL032,2024-03-18,9.4,8000,Planning
BH0049,EM023,CL055,2024-09-26,4.4,12000,Reporting
BH0050,EM010,CL056,2024-09-02,6.9,20000,Planning
BH0051,EM030,CL043,2024-02-17,3.3,5000,Reporting
BH0052,EM018,CL037,2024-04-12,8.1,20000,Planning
BH0053,EM025,CL029,2024-01-18,4.9,12000,Review
BH0054,EM007,CL031,2024-04-27,8.4,20000,Planning
BH0055,EM009,CL008,2024-03-03,4.5,12000,Fieldwork
BH0056,EM026,CL045,2024-10-27,6.0,8000,Review
BH0057,EM017,CL026,2024-06-03,4.6,20000,Fieldwork
BH0058,EM007,CL019,2024-12-05,9.8,12000,Review
BH0059,EM032,CL001,2024-04-28,6.4,8000,Review
BH0060,EM009,CL031,2024-12-22,8.6,5000,Planning
BH0061,EM026,CL026,2024-10-25,9.7,12000,Review
BH0062,EM009,CL039,2024-11-28,1.5,5000,Planning
BH0063,EM012,CL025,2024-01-28,1.1,5000,Fieldwork
BH0064,EM004,CL006,2024-06-16,4.8,20000,Fieldwork
BH0065,EM030,CL013,2024-10-14,3.3,12000,Planning
BH0066,EM033,CL006,2024-03-12,9.5,8000,Fieldwork
BH0067,EM004,CL044,2024-10-11,5.6,8000,Planning
BH0068,EM020,CL043,2024-07-11,8.5,5000,Planning
BH0069,EM026,CL031,2024-03-06,2.8,8000,Fieldwork
BH0070,EM004,CL017,2024-12-06,3.4,5000,Client Meeting
BH0071,EM030,CL041,2024-05-05,6.7,20000,Review
BH0072,EM021,CL047,2024-08-02,1.6,8000,Reporting
BH0073,EM005,CL050,2024-09-28,5.9,8000,Fieldwork
BH0074,EM027,CL014,2024-02-11,5.7,20000,Review
BH0075,EM008,CL031,2024-07-15,1.6,8000,Fieldwork
BH0076,EM010,CL013,2024-07-30,3.4,5000,Client Meeting
BH0077,EM016,CL028,2024-09-16,2.7,5000,Client Meeting
BH0078,EM030,CL028,2024-05-20,1.1,8000,Reporting
BH0079,EM015,CL051,2024-10-22,7.0,8000,Reporting
BH0080,EM022,CL009,2024-09-30,2.3,20000,Client Meeting
BH0081,EM007,CL012,2024-07-13,9.0,8000,Client Meeting
BH0082,EM017,CL039,2024-11-15,6.1,8000,Reporting
BH0083,EM021,CL012,2024-11-10,4.7,12000,Review
BH0084,EM020,CL044,2024-09-23,3.5,8000,Client Meeting
BH0085,EM035,CL028,2024-09-16,2.0,5000,Fieldwork
BH0086,EM020,CL051,2024-04-23,3.0,20000,Review
BH0087,EM002,CL039,2024-12-28,5.7,12000,Planning
BH0088,EM032,CL031,2024-02-13,8.6,12000,Review
BH0089,EM004,CL050,2024-11-23,9.2,8000,Client Meeting
BH0090,EM034,CL031,2024-11-08,1.5,12000,Planning
BH0091,EM007,CL045,2024-03-18,1.1,12000,Client Meeting
BH0092,EM016,CL030,2024-03-27,2.0,8000,Client Meeting
BH0093,EM026,CL047,2024-01-12,2.9,8000,Review
BH0094,EM033,CL020,2024-02-07,5.8,5000,Reporting
BH0095,EM021,CL023,2024-12-02,6.6,20000,Client Meeting
BH0096,EM015,CL047,2024-08-21,9.7,8000,Planning
