employee_id,monthly_salary,last_bonus,last_raise_date
EM001,330000,140000,2023-07-27
EM002,519000,20000,2023-08-16
EM003,409000,70000,2024-01-27
EM004,467000,0,2024-02-11
EM005,225000,40000,2024-10-07
EM006,561000,70000,2023-03-27
EM007,266000,80000,2024-02-26
EM008,211000,80000,2024-12-07
EM009,200000,100000,2024-04-17
EM010,299000,120000,2023-05-11
EM011,522000,30000,2023-02-09
EM012,420000,130000,2024-02-13
EM013,543000,100000,2024-09-21
EM014,262000,110000,2024-06-15
EM015,294000,50000,2024-06-20
EM016,400000,20000,2023-01-06
EM017,234000,10000,2024-10-01
EM018,368000,0,2023-07-17
EM019,369000,120000,2023-09-18
EM020,315000,80000,2023-07-02
EM021,357000,80000,2024-09-22
EM022,303000,40000,2023-05-27
EM023,175000,140000,2024-03-11
EM024,423000,120000,2024-01-22
EM025,300000,60000,2023-06-20
EM026,274000,30000,2024-07-25
EM027,368000,130000,2023-08-07
EM028,262000,60000,2024-03-28
EM029,234000,110000,2023-09-17
EM030,382000,120000,2023-02-14
EM031,365000,140000,2024-05-17
EM032,147000,40000,2024-12-23
EM033,253000,10000,2023-11-18
EM034,491000,50000,2024-08-23
EM035,226000,60000,2024-05-28
EM036,210000,60000,2024-12-06
EM037,403000,110000,2023-05-01
EM038,239000,20000,2023-07-06
EM039,412000,60000,2024-10-15
EM040,243000,90000,2023-02-24
