case_id,client_id,lawyer_id,case_type,status,open_date,close_date,settlement_amount
CS0001,CL058,LW020,Criminal,Settled,2024-07-09,2024-12-30,6400000
CS0002,CL071,LW010,Criminal,Won,2023-11-14,2024-11-13,0
CS0003,CL078,LW019,Employment,Settled,2023-04-27,2023-12-03,5000000
CS0004,CL045,LW005,Corporate,Lost,2022-09-12,2023-01-10,0
CS0005,CL008,LW023,Property,Open,2023-02-14,,0
CS0006,CL074,LW004,Criminal,Won,2024-05-22,2025-05-14,0
CS0007,CL074,LW003,Employment,Lost,2024-10-02,2024-12-28,0
CS0008,CL048,LW008,Tax,Lost,2023-01-23,2023-06-09,0
CS0009,CL081,LW003,Criminal,Open,2023-03-12,,0
CS0010,CL006,LW011,Tax,Settled,2024-09-06,2025-07-18,2800000
CS0011,CL066,LW024,Tax,Lost,2024-12-22,2025-03-29,0
CS0012,CL031,LW011,Family,Lost,2024-02-05,2024-07-02,0
CS0013,CL089,LW006,Corporate,Open,2024-05-17,,0
CS0014,CL100,LW018,Property,Open,2023-07-21,,0
CS0015,CL016,LW004,Criminal,Won,2024-09-10,2025-06-25,0
CS0016,CL110,LW022,Employment,Settled,2022-11-19,2023-07-13,7600000
CS0017,CL048,LW004,Property,Won,2023-08-18,2024-10-02,0
CS0018,CL017,LW005,Employment,Won,2022-12-05,2024-02-17,0
CS0019,CL083,LW015,Employment,Won,2022-06-19,2023-03-01,0
CS0020,CL120,LW001,Criminal,Lost,2023-11-19,2025-03-26,0
CS0021,CL104,LW015,Family,Settled,2023-07-22,2024-08-06,9300000
CS0022,CL042,LW016,Tax,Open,2023-10-10,,0
CS0023,CL109,LW019,Corporate,Lost,2024-09-15,2025-11-18,0
CS0024,CL010,LW005,Tax,Lost,2023-09-08,2024-01-20,0
CS0025,CL083,LW011,Criminal,Won,2023-03-10,2023-09-10,0
CS0026,CL119,LW023,Corporate,Won,2023-05-23,2024-03-05,0
CS0027,CL064,LW012,Corporate,Open,2023-11-08,,0
CS0028,CL021,LW002,Employment,Settled,2022-10-16,2024-02-18,5900000
CS0029,CL094,LW007,Property,Won,2024-11-21,2025-01-07,0
CS0030,CL046,LW014,Criminal,Settled,2024-02-04,2024-10-21,8300000
CS0031,CL074,LW004,Property,Settled,2023-06-10,2023-10-18,2600000
CS0032,CL001,LW017,Employment,Settled,2024-02-13,2025-06-12,5900000
CS0033,CL052,LW019,Family,Won,2023-10-27,2023-12-04,0
CS0034,CL103,LW004,Corporate,Won,2023-07-13,2023-12-26,0
CS0035,CL039,LW005,Property,Open,2022-02-02,,0
CS0036,CL025,LW012,Family,Settled,2024-08-28,2025-02-07,8000000
CS0037,CL014,LW017,Corporate,Settled,2022-11-04,2023-01-31,100000
CS0038,CL083,LW004,Criminal,Settled,2024-05-01,2025-04-08,8000000
CS0039,CL048,LW015,Family,Open,2023-05-18,,0
CS0040,CL102,LW017,Tax,Won,2024-12-18,2025-06-23,0
CS0041,CL012,LW011,Tax,Open,2022-07-26,,0
CS0042,CL025,LW010,Property,Lost,2022-03-18,2023-06-28,0
CS0043,CL083,LW003,Property,Won,2024-03-21,2024-05-17,0
CS0044,CL024,LW010,Family,Won,2022-11-27,2023-07-11,0
CS0045,CL021,LW001,Criminal,Won,2023-08-05,2024-04-04,0
CS0046,CL044,LW023,Family,Open,2023-04-18,,0
CS0047,CL085,LW008,Employment,Lost,2022-12-14,2023-03-27,0
CS0048,CL108,LW003,Property,Won,2022-01-09,2022-10-16,0
CS0049,CL036,LW013,Property,Won,2023-08-28,2024-01-22,0
CS0050,CL107,LW009,Property,Open,2023-11-29,,0
CS0051,CL054,LW002,Criminal,Open,2022-04-14,,0
CS0052,CL007,LW015,Employment,Settled,2024-12-12,2026-03-23,1000000
CS0053,CL025,LW011,Criminal,Won,2022-08-10,2023-03-28,0
CS0054,CL081,LW025,Tax,Open,2023-06-16,,0
CS0055,CL001,LW006,Criminal,Open,2022-12-30,,0
CS0056,CL044,LW013,Corporate,Won,2022-08-07,2023-05-13,0
CS0057,CL116,LW020,Family,Lost,2024-11-19,2025-01-09,0
CS0058,CL107,LW003,Employment,Lost,2023-06-03,2024-06-07,0
CS0059,CL025,LW007,Tax,Won,2023-07-07,2023-10-07,0
CS0060,CL047,LW024,Corporate,Won,2024-06-09,2025-01-25,0
CS0061,CL044,LW020,Corporate,Open,2024-11-26,,0
CS0062,CL098,LW011,Employment,Won,2024-06-01,2025-06-22,0
CS0063,CL083,LW020,Corporate,Open,2024-06-18,,0
CS0064,CL022,LW019,Corporate,Won,2024-08-27,2025-07-03,0
CS0065,CL103,LW010,Employment,Won,2022-12-30,2024-02-10,0
CS0066,CL011,LW019,Corporate,Open,2022-12-15,,0
CS0067,CL021,LW019,Employment,Open,2023-08-03,,0
CS0068,CL038,LW004,Family,Settled,2023-07-08,2024-04-20,1500000
CS0069,CL028,LW017,Family,Open,2022-06-22,,0
CS0070,CL016,LW010,Criminal,Lost,2023-01-24,2023-12-17,0
CS0071,CL001,LW004,Criminal,Lost,2023-10-21,2024-02-06,0
CS0072,CL058,LW010,Corporate,Open,2022-08-10,,0
CS0073,CL080,LW017,Tax,Open,2022-04-16,,0
CS0074,CL080,LW017,Employment,Won,2023-09-22,2024-06-01,0
CS0075,CL080,LW010,Employment,Settled,2024-03-11,2024-11-02,4700000
CS0076,CL060,LW006,Employment,Open,2022-10-28,,0
CS0077,CL085,LW013,Property,Open,2023-05-22,,0
CS0078,CL054,LW010,Family,Won,2022-07-28,2023-12-07,0
CS0079,CL025,LW005,Tax,Settled,2022-09-11,2024-01-19,4100000
CS0080,CL115,LW004,Corporate,Open,2022-02-22,,0
CS0081,CL041,LW005,Criminal,Won,2022-05-07,2023-02-25,0
CS0082,CL052,LW018,Criminal,Open,2024-01-06,,0
CS0083,CL070,LW009,Tax,Won,2023-08-17,2023-12-18,0
CS0084,CL019,LW024,Tax,Open,2022-09-14,,0
CS0085,CL051,LW016,Corporate,Won,2024-03-19,2024-07-16,0
CS0086,CL018,LW011,Criminal,Won,2022-11-20,2022-12-25,0
CS0087,CL069,LW014,Property,Won,2022-11-22,2023-04-24,0
CS0088,CL061,LW013,Corporate,Open,2024-07-06,,0
CS0089,CL118,LW024,Criminal,Won,2022-10-03,2023-09-14,0
CS0090,CL117,LW014,Tax,Settled,2024-10-07,2025-09-29,9100000
CS0091,CL007,LW018,Tax,Lost,2024-08-20,2025-02-20,0
CS0092,CL018,LW003,Corporate,Lost,2024-09-23,2026-01-07,0
CS0093,CL102,LW010,Tax,Lost,2023-11-24,2024-03-24,0
CS0094,CL031,LW007,Tax,Open,2022-02-11,,0
CS0095,CL110,LW003,Corporate,Open,2024-01-29,,0
CS0096,CL037,LW015,Criminal,Settled,2024-10-06,2026-02-17,1900000
CS0097,CL056,LW012,Family,Won,2023-07-21,2023-11-21,0
CS0098,CL096,LW022,Employment,Open,2024-06-13,,0
CS0099,CL063,LW014,Tax,Settled,2023-03-01,2024-01-28,2300000
CS0100,CL024,LW008,Employment,Won,2023-10-16,2024-11-07,0
CS0101,CL102,LW017,Employment,Open,2022-12-13,,0
CS0102,CL025,LW022,Tax,Won,2024-02-20,2025-02-15,0
CS0103,CL071,LW021,Property,Open,2024-07-29,,0
CS0104,CL118,LW002,Family,Settled,2022-02-13,2022-11-14,9500000
CS0105,CL046,LW015,Tax,Open,2023-04-21,,0
CS0106,CL079,LW020,Family,Won,2022-06-11,2023-04-03,0
CS0107,CL093,LW014,Tax,Settled,2023-04-27,2023-07-02,1100000
CS0108,CL084,LW007,Family,Settled,2023-01-19,2024-01-29,1100000
CS0109,CL060,LW024,Corporate,Won,2023-10-02,2024-10-28,0
CS0110,CL061,LW021,Corporate,Won,2022-01-15,2023-04-07,0
CS0111,CL001,LW024,Employment,Lost,2024-09-08,2025-04-17,0
CS0112,CL085,LW019,Employment,Settled,2023-09-02,2024-07-17,3700000
CS0113,CL059,LW013,Employment,Settled,2024-03-29,2024-08-07,4500000
CS0114,CL099,LW003,Criminal,Lost,2024-04-29,2024-08-01,0
CS0115,CL117,LW019,Family,Settled,2022-01-24,2023-04-14,4200000
CS0116,CL071,LW009,Tax,Open,2023-06-11,,0
CS0117,CL022,LW006,Family,Won,2023-07-24,2024-09-09,0
CS0118,CL026,LW007,Tax,Settled,2023-11-13,2024-06-02,1300000
CS0119,CL079,LW003,Family,Open,2023-11-02,,0
CS0120,CL053,LW007,Tax,Won,2022-07-17,2023-06-09,0
CS0121,CL091,LW004,Corporate,Won,2022-08-13,2023-09-29,0
CS0122,CL044,LW004,Tax,Settled,2024-04-21,2025-01-30,4000000
CS0123,CL052,LW025,Family,Won,2024-05-28,2024-10-22,0
CS0124,CL094,LW001,Family,Settled,2022-01-21,2023-05-02,4300000
CS0125,CL031,LW016,Criminal,Open,2024-10-03,,0
CS0126,CL034,LW005,Property,Open,2023-05-01,,0
CS0127,CL104,LW015,Corporate,Lost,2024-10-25,2025-12-31,0
CS0128,CL082,LW018,Corporate,Won,2022-12-20,2023-05-09,0
CS0129,CL011,LW015,Corporate,Open,2024-11-22,,0
CS0130,CL087,LW015,Tax,Settled,2023-04-17,2023-11-13,4000000
CS0131,CL016,LW003,Criminal,Won,2022-10-12,2024-01-05,0
CS0132,CL055,LW008,Property,Lost,2023-10-12,2024-09-03,0
CS0133,CL040,LW020,Criminal,Won,2022-05-25,2022-08-07,0
CS0134,CL003,LW018,Employment,Won,2022-08-04,2023-12-06,0
CS0135,CL007,LW014,Tax,Lost,2022-11-28,2023-04-30,0
CS0136,CL107,LW001,Corporate,Won,2023-06-16,2024-06-24,0
CS0137,CL066,LW001,Criminal,Won,2024-12-26,2025-03-14,0
CS0138,CL048,LW023,Corporate,Lost,2023-09-02,2024-07-08,0
CS0139,CL017,LW003,Employment,Open,2022-04-02,,0
CS0140,CL010,LW023,Family,Open,2023-09-16,,0
CS0141,CL058,LW002,Criminal,Open,2022-06-28,,0
CS0142,CL055,LW021,Employment,Settled,2023-06-21,2024-02-22,900000
CS0143,CL083,LW021,Criminal,Lost,2024-12-27,2025-09-11,0
CS0144,CL037,LW019,Employment,Open,2022-05-12,,0
CS0145,CL027,LW022,Criminal,Settled,2024-09-06,2025-12-21,200000
CS0146,CL025,LW021,Family,Open,2023-07-28,,0
CS0147,CL093,LW007,Family,Lost,2023-06-08,2023-10-25,0
CS0148,CL006,LW014,Family,Won,2022-09-23,2022-12-15,0
CS0149,CL104,LW001,Family,Open,2022-04-03,,0
CS0150,CL002,LW021,Family,Lost,2022-01-04,2022-03-08,0
CS0151,CL016,LW008,Family,Open,2023-02-13,,0
CS0152,CL059,LW019,Family,Won,2023-11-15,2024-12-30,0
CS0153,CL093,LW016,Criminal,Open,2022-04-07,,0
CS0154,CL077,LW012,Property,Open,2023-04-21,,0
CS0155,CL011,LW016,Property,Lost,2022-09-25,2023-09-26,0
CS0156,CL103,LW025,Employment,Open,2024-12-06,,0
CS0157,CL116,LW015,Property,Settled,2024-10-14,2025-11-14,7100000
CS0158,CL057,LW012,Corporate,Lost,2024-09-02,2025-10-13,0
CS0159,CL060,LW022,Corporate,Won,2024-10-21,2025-07-23,0
CS0160,CL078,LW018,Corporate,Open,2023-03-13,,0
CS0161,CL083,LW021,Criminal,Settled,2023-04-03,2024-03-12,5900000
CS0162,CL065,LW016,Criminal,Open,2023-07-23,,0
CS0163,CL047,LW004,Employment,Open,2023-07-18,,0
CS0164,CL095,LW017,Property,Won,2023-10-16,2024-05-07,0
CS0165,CL102,LW015,Tax,Settled,2022-06-23,2023-06-18,9500000
CS0166,CL069,LW018,Tax,Won,2023-07-29,2023-10-25,0
CS0167,CL075,LW022,Property,Open,2024-10-18,,0
CS0168,CL081,LW021,Corporate,Won,2022-03-24,2022-08-27,0
CS0169,CL041,LW017,Family,Won,2024-09-19,2025-12-05,0
