account_id,customer_id,account_type,balance,opened_date
AC0001,CU0217,Savings,441090.45,2022-08-18
AC0002,CU0335,Savings,103233.26,2023-04-06
AC0003,CU0006,Savings,205192.5,2019-08-31
AC0004,CU0098,Current,189188.75,2024-02-28
AC0005,CU0006,Current,127459.32,2022-01-10
AC0006,CU0393,Current,21857.88,2020-01-14
AC0007,CU0115,Savings,331818.55,2015-10-16
AC0008,CU0251,Savings,58523.92,2015-09-30
AC0009,CU0086,Savings,268932.91,2023-04-20
AC0010,CU0367,Savings,477703.28,2022-10-17
AC0011,CU0147,Current,143118.59,2018-03-12
AC0012,CU0062,Savings,55137.53,2019-06-06
AC0013,CU0285,Savings,475154.33,2024-06-29
AC0014,CU0266,Current,101193.3,2015-05-27
AC0015,CU0058,Current,239931.07,2017-07-25
AC0016,CU0095,Savings,416714.27,2015-12-09
AC0017,CU0316,Savings,121634.17,2019-02-28
AC0018,CU0227,Current,369434.82,2021-09-11
AC0019,CU0258,Savings,331775.5,2023-08-07
AC0020,CU0372,Savings,384506.06,2018-07-26
AC0021,CU0079,Savings,284831.87,2018-10-30
AC0022,CU0180,Savings,460998.05,2020-03-07
AC0023,CU0029,Savings,450879.84,2019-05-22
AC0024,CU0150,Current,77395.66,2020-09-01
AC0025,CU0322,Savings,113392.56,2017-03-07
AC0026,CU0225,Current,329348.1,2015-04-14
AC0027,CU0126,Current,35622.06,2021-09-30
AC0028,CU0281,Fixed Deposit,406086.19,2018-07-24
AC0029,CU0034,Savings,56571.53,2019-08-07
AC0030,CU0087,Fixed Deposit,1275313.83,2023-02-13
AC0031,CU0074,Current,185815.7,2016-03-01
AC0032,CU0002,Savings,3944.9,2021-04-23
AC0033,CU0394,Savings,407039.33,2021-05-11
AC0034,CU0391,Savings,428644.5,2022-01-17
AC0035,CU0038,Savings,282255.74,2015-03-23
AC0036,CU0331,Current,468668.26,2019-05-01
AC0037,CU0199,Savings,343119.38,2020-01-16
AC0038,CU0314,Savings,341757.71,2017-10-21
AC0039,CU0326,Current,490085.42,2020-02-07
AC0040,CU0079,Current,459793.83,2020-02-04
AC0041,CU0147,Fixed Deposit,525295.69,2022-02-22
AC0042,CU0199,Savings,481556.8,2017-11-19
AC0043,CU0011,Savings,184670.97,2019-11-04
AC0044,CU0236,Savings,72847.9,2019-08-08
AC0045,CU0065,Fixed Deposit,1976229.8,2024-06-03
AC0046,CU0208,Current,104842.36,2019-09-21
AC0047,CU0232,Current,230830.19,2019-12-24
AC0048,CU0173,Current,232295.06,2018-08-28
AC0049,CU0272,Current,67424.22,2017-04-23
AC0050,CU0098,Savings,109262.7,2021-05-17
AC0051,CU0374,Savings,474054.5,2022-05-24
AC0052,CU0281,Current,450276.81,2024-09-02
AC0053,CU0158,Current,188033.5,2017-05-24
AC0054,CU0056,Current,71524.41,2021-02-01
AC0055,CU0397,Current,150859.82,2024-10-03
AC0056,CU0112,Current,26391.97,2018-10-15
AC0057,CU0265,Fixed Deposit,1353337.78,2019-11-04
AC0058,CU0013,Savings,471656.44,2022-10-13
AC0059,CU0342,Savings,193599.36,2016-12-06
AC0060,CU0349,Savings,491832.65,2021-04-26
AC0061,CU0295,Savings,320977.83,2023-10-08
AC0062,CU0163,Savings,76190.95,2020-04-03
AC0063,CU0067,Savings,434147.02,2023-07-21
AC0064,CU0391,Current,158791.09,2021-11-13
AC0065,CU0347,Fixed Deposit,1764241.48,2016-02-02
AC0066,CU0005,Savings,43789.28,2024-09-01
AC0067,CU0047,Savings,166422.81,2018-07-07
AC0068,CU0078,Current,102300.53,2017-05-22
AC0069,CU0186,Savings,420498.58,2021-12-27
AC0070,CU0229,Current,292140.81,2020-04-29
AC0071,CU0149,Current,352098.01,2018-05-27
AC0072,CU0082,Savings,401365.63,2024-11-15
AC0073,CU0061,Savings,82465.12,2020-12-20
AC0074,CU0283,Current,79981.93,2022-01-19
AC0075,CU0144,Current,350231.44,2022-09-27
AC0076,CU0340,Savings,488086.24,2016-08-23
AC0077,CU0021,Current,49437.4,2016-07-09
AC0078,CU0245,Current,236933.73,2016-11-29
AC0079,CU0186,Savings,293501.51,2019-12-12
AC0080,CU0011,Savings,224219.38,2020-07-07
AC0081,CU0044,Current,442916.33,2024-12-10
AC0082,CU0070,Current,35376.11,2021-12-31
AC0083,CU0077,Savings,339009.21,2016-03-30
AC0084,CU0165,Savings,480825.98,2018-04-12
AC0085,CU0254,Savings,178001.21,2015-03-07
AC0086,CU0187,Current,495859.2,2024-07-18
AC0087,CU0144,Savings,96819.55,2020-11-01
AC0088,CU0086,Savings,245314.92,2015-08-02
AC0089,CU0135,Savings,350556.93,2020-01-13
AC0090,CU0140,Current,169421.4,2023-05-30
AC0091,CU0171,Current,330045.85,2021-03-08
AC0092,CU0320,Savings,66194.28,2015-02-13
AC0093,CU0103,Savings,152052.52,2020-04-09
AC0094,CU0356,Current,194810.17,2022-07-15
AC0095,CU0172,Savings,348731.19,2019-02-11
AC0096,CU0209,Fixed Deposit,1589828.67,2022-12-07
AC0097,CU0178,Current,67037.73,2023-01-24
AC0098,CU0251,Savings,276638.94,2018-02-27
AC0099,CU0231,Savings,42569.76,2022-07-14
AC0100,CU0164,Savings,402932.11,2024-08-29
AC0101,CU0066,Fixed Deposit,143714.17,2024-01-16
AC0102,CU0091,Savings,122237.55,2019-03-10
