deposit_id,teller_id,branch_id,date,amount_received,amount_recorded
DP0001,TL11,BR02,2024-10-03,109000,109000
DP0002,TL06,BR03,2024-12-22,160000,160000
DP0003,TL01,BR06,2024-02-12,143000,143000
DP0004,TL07,BR01,2024-09-01,156500,156500
DP0005,TL10,BR01,2024-11-24,99000,99000
DP0006,TL12,BR02,2024-12-05,22000,22000
DP0007,TL05,BR03,2024-12-19,92000,92000
DP0008,TL07,BR01,2024-04-30,173000,171000
DP0009,TL06,BR03,2024-10-20,94000,94000
DP0010,TL09,BR07,2024-08-08,46500,46500
DP0011,TL01,BR06,2024-12-11,133500,133500
DP0012,TL07,BR01,2024-02-22,12000,12000
DP0013,TL09,BR07,2024-12-22,57000,57000
DP0014,TL05,BR03,2024-09-12,10000,10000
DP0015,TL06,BR03,2024-01-27,155000,155000
DP0016,TL09,BR07,2024-06-22,118500,118500
DP0017,TL05,BR03,2024-09-03,117500,117500
DP0018,TL04,BR04,2024-10-08,43500,43500
DP0019,TL06,BR03,2024-04-22,47500,47500
DP0020,TL10,BR01,2024-06-23,2500,2500
DP0021,TL03,BR05,2024-09-13,62500,62500
DP0022,TL01,BR06,2024-07-03,64000,64000
DP0023,TL09,BR07,2024-06-14,129500,129500
DP0024,TL11,BR02,2024-04-27,72500,72500
DP0025,TL09,BR07,2024-11-17,129500,129500
DP0026,TL06,BR03,2024-08-15,68000,68000
DP0027,TL12,BR02,2024-11-11,42500,42500
DP0028,TL01,BR06,2024-09-20,72000,72000
DP0029,TL11,BR02,2024-04-19,179000,179000
DP0030,TL12,BR02,2024-01-15,73500,73500
DP0031,TL11,BR02,2024-03-08,1500,1500
DP0032,TL09,BR07,2024-05-03,69000,69000
DP0033,TL04,BR04,2024-01-31,112000,112000
DP0034,TL09,BR07,2024-05-12,146500,146500
DP0035,TL01,BR06,2024-02-17,107500,107500
DP0036,TL07,BR01,2024-07-07,51500,51500
DP0037,TL11,BR02,2024-03-23,189000,189000
DP0038,TL01,BR06,2024-01-16,177000,177000
DP0039,TL01,BR06,2024-09-30,19500,19500
DP0040,TL04,BR04,2024-12-29,98000,98000
DP0041,TL06,BR03,2024-12-18,49000,49000
DP0042,TL11,BR02,2024-11-08,139500,139500
DP0043,TL02,BR01,2024-12-24,55000,55000
DP0044,TL11,BR02,2024-02-06,101500,101500
DP0045,TL07,BR01,2024-03-13,92000,90000
DP0046,TL11,BR02,2024-06-08,24000,24000
DP0047,TL12,BR02,2024-12-03,47000,47000
DP0048,TL11,BR02,2024-01-16,112500,112500
DP0049,TL04,BR04,2024-09-05,125500,125500
DP0050,TL03,BR05,2024-06-23,15500,15500
DP0051,TL08,BR02,2024-02-19,62000,62000
DP0052,TL04,BR04,2024-07-06,2500,2500
DP0053,TL05,BR03,2024-05-31,52500,52500
DP0054,TL04,BR04,2024-09-13,133000,133000
DP0055,TL12,BR02,2024-08-25,86000,86000
DP0056,TL07,BR01,2024-08-23,156000,156000
DP0057,TL08,BR02,2024-04-26,13500,13500
DP0058,TL07,BR01,2024-09-23,138500,138500
DP0059,TL11,BR02,2024-02-24,113500,113500
DP0060,TL09,BR07,2024-06-28,147000,147000
DP0061,TL12,BR02,2024-09-12,5000,5000
DP0062,TL06,BR03,2024-03-10,162500,162500
DP0063,TL08,BR02,2024-03-09,58500,58500
DP0064,TL05,BR03,2024-07-05,127500,127500
DP0065,TL05,BR03,2024-11-02,105500,105500
DP0066,TL05,BR03,2024-11-06,100500,100500
DP0067,TL06,BR03,2024-11-24,38500,38500
DP0068,TL01,BR06,2024-07-12,169500,169500
DP0069,TL07,BR01,2024-07-27,109500,109500
DP0070,TL07,BR01,2024-04-03,127000,127000
DP0071,TL03,BR05,2024-02-26,53500,53500
DP0072,TL05,BR03,2024-11-30,134500,134500
DP0073,TL12,BR02,2024-06-05,184000,184000
DP0074,TL03,BR05,2024-04-18,80500,80500
DP0075,TL12,BR02,2024-01-22,7000,7000
DP0076,TL01,BR06,2024-04-10,44500,44500
DP0077,TL12,BR02,2024-04-04,76500,76500
DP0078,TL05,BR03,2024-11-06,140500,140500
DP0079,TL02,BR01,2024-10-01,94000,94000
DP0080,TL04,BR04,2024-01-04,115500,115500
DP0081,TL11,BR02,2024-09-15,33000,33000
DP0082,TL08,BR02,2024-07-01,163500,163500
DP0083,TL11,BR02,2024-09-21,100000,100000
DP0084,TL01,BR06,2024-01-11,184000,184000
