transaction_id,account_id,date,type,amount,channel
TX00001,AC0237,2024-11-06,withdrawal,24030.41,ATM
TX00002,AC0255,2024-11-06,withdrawal,103510.29,ATM
TX00003,AC0202,2024-06-22,deposit,104388.86,Mobile App
TX00004,AC0184,2024-09-17,withdrawal,44401.16,Mobile App
TX00005,AC0215,2024-04-30,withdrawal,100105.18,Online
TX00006,AC0124,2024-08-24,deposit,105633.57,ATM
TX00007,AC0041,2024-01-31,deposit,22578.16,Mobile App
TX00008,AC0065,2024-03-17,deposit,42730.05,Branch
TX00009,AC0353,2024-06-12,withdrawal,107936.75,Mobile App
TX00010,AC0210,2024-03-03,withdrawal,140646.71,Online
TX00011,AC0459,2024-08-30,deposit,54949.3,Mobile App
TX00012,AC0099,2024-06-25,deposit,7812.37,Branch
TX00013,AC0200,2024-04-05,transfer,69793.84,Mobile App
TX00014,AC0402,2024-12-29,withdrawal,67717.03,Branch
TX00015,AC0382,2024-12-28,transfer,98931.52,Online
TX00016,AC0004,2024-03-25,withdrawal,62662.25,Mobile App
TX00017,AC0449,2024-06-20,deposit,6782.81,Online
TX00018,AC0123,2024-09-19,transfer,143580.86,Online
TX00019,AC0370,2024-04-02,transfer,6248.14,ATM
TX00020,AC0324,2024-07-03,withdrawal,120131.19,Branch
TX00021,AC0173,2024-01-02,deposit,72678.36,Online
TX00022,AC0109,2024-03-16,withdrawal,102213.18,Branch
TX00023,AC0272,2024-07-19,withdrawal,65523.18,ATM
TX00024,AC0233,2024-10-29,withdrawal,81049.44,Mobile App
TX00025,AC0023,2024-05-25,withdrawal,3178.28,ATM
TX00026,AC0243,2024-08-01,transfer,137158.73,Online
TX00027,AC0473,2024-06-10,withdrawal,67666.07,Branch
TX00028,AC0457,2024-11-29,deposit,122602.07,Branch
TX00029,AC0203,2024-05-15,deposit,79846.05,ATM
TX00030,AC0114,2024-08-18,withdrawal,59848.54,Mobile App
TX00031,AC0025,2024-02-08,withdrawal,80521.02,Mobile App
TX00032,AC0009,2024-09-13,withdrawal,115450.68,ATM
TX00033,AC0255,2024-10-24,withdrawal,80346.46,Branch
TX00034,AC0400,2024-02-29,withdrawal,138881.56,Mobile App
TX00035,AC0288,2024-06-17,deposit,81986.96,Online
TX00036,AC0008,2024-12-16,transfer,12411.7,Online
TX00037,AC0485,2024-09-02,deposit,15369.26,Branch
TX00038,AC0087,2024-12-02,withdrawal,100935.72,Mobile App
TX00039,AC0083,2024-08-06,withdrawal,109509.69,Branch
TX00040,AC0050,2024-05-27,withdrawal,149683.82,ATM
TX00041,AC0040,2024-03-20,deposit,128028.03,ATM
TX00042,AC0489,2024-05-02,deposit,116910.4,Branch
TX00043,AC0495,2024-04-01,deposit,114852.59,Branch
TX00044,AC0063,2024-09-13,transfer,76861.55,Mobile App
TX00045,AC0343,2024-11-10,withdrawal,117931.8,Branch
TX00046,AC0404,2024-02-17,withdrawal,26871.58,Online
TX00047,AC0280,2024-05-08,deposit,136682.53,ATM
TX00048,AC0033,2024-03-24,deposit,51644.13,Online
TX00049,AC0246,2024-11-19,withdrawal,4953.47,Mobile App
TX00050,AC0406,2024-08-09,deposit,121187.62,Mobile App
TX00051,AC0109,2024-03-26,withdrawal,93350.72,Mobile App
TX00052,AC0397,2024-10-27,deposit,146432.52,Online
TX00053,AC0428,2024-12-02,transfer,83839.94,Mobile App
TX00054,AC0199,2024-06-13,withdrawal,30267.41,ATM
TX00055,AC0019,2024-08-19,withdrawal,1056.4,Branch
TX00056,AC0009,2024-12-06,withdrawal,97483.17,Mobile App
TX00057,AC0384,2024-01-04,withdrawal,129370.02,ATM
TX00058,AC0069,2024-02-19,deposit,89136.38,Mobile App
TX00059,AC0254,2024-10-10,withdrawal,18403.08,ATM
TX00060,AC0403,2024-11-22,withdrawal,37282.62,Mobile App
TX00061,AC0151,2024-01-20,deposit,8709.49,Branch
TX00062,AC0341,2024-03-11,withdrawal,122446.16,Online
TX00063,AC0144,2024-06-23,transfer,147205.88,Branch
TX00064,AC0039,2024-09-12,withdrawal,110924.95,Mobile App
TX00065,AC0012,2024-01-14,withdrawal,49499.2,ATM
TX00066,AC0446,2024-03-11,deposit,54698.56,ATM
TX00067,AC0500,2024-05-15,withdrawal,48087.6,ATM
TX00068,AC0094,2024-10-22,withdrawal,87543.12,ATM
TX00069,AC0119,2024-01-26,withdrawal,47067.53,ATM
TX00070,AC0416,2024-12-30,withdrawal,135994.75,Branch
TX00071,AC0052,2024-07-25,deposit,47127.88,Mobile App
TX00072,AC0048,2024-12-02,withdrawal,40722.7,ATM
TX00073,AC0071,2024-02-05,deposit,142373.08,ATM
TX00074,AC0055,2024-09-01,deposit,70648.86,Branch
TX00075,AC0208,2024-10-04,deposit,40010.2,Online
TX00076,AC0042,2024-06-20,deposit,28176.82,ATM
TX00077,AC0323,2024-01-09,transfer,33153.47,Online
TX00078,AC0087,2024-12-15,withdrawal,148452.2,ATM
TX00079,AC0349,2024-09-24,withdrawal,86715.27,Online
TX00080,AC0253,2024-10-07,withdrawal,9376.06,Online
TX00081,AC0314,2024-12-07,transfer,29274.53,Branch
TX00082,AC0177,2024-03-10,transfer,146071.36,Mobile App
TX00083,AC0467,2024-10-23,withdrawal,40769.36,ATM
TX00084,AC0362,2024-08-03,withdrawal,97426.47,Mobile App
TX00085,AC0001,2024-02-28,transfer,88815.24,Branch
TX00086,AC0354,2024-03-06,deposit,122259.71,ATM
TX00087,AC0496,2024-12-09,withdrawal,20301.06,ATM
TX00088,AC0119,2024-05-07,deposit,109822.25,Mobile App
TX00089,AC0069,2024-04-21,withdrawal,143930.27,ATM
TX00090,AC0334,2024-04-17,deposit,124580.62,ATM
TX00091,AC0212,2024-02-24,withdrawal,31346.85,Online
TX00092,AC0076,2024-11-27,deposit,130385.77,Branch
TX00093,AC0211,2024-07-12,withdrawal,66790.06,Online
TX00094,AC0440,2024-11-21,deposit,31413.83,Branch
TX00095,AC0097,2024-12-06,withdrawal,73742.04,Branch
TX00096,AC0224,2024-01-26,withdrawal,957.08,Mobile App
TX00097,AC0082,2024-02-01,deposit,112374.49,Branch
TX00098,AC0105,2024-07-30,deposit,132255.34,Online
TX00099,AC0146,2024-05-23,deposit,64209.77,ATM
TX00100,AC0243,2024-09-28,deposit,88179.43,Branch
TX00101,AC0156,2024-11-25,withdrawal,67676.79,Branch
TX00102,AC0430,2024-09-01,transfer,40811.1,Mobile App
TX00103,AC0113,2024-08-12,deposit,3063.29,Online
TX00104,AC0331,2024-09-05,transfer,33221.5,Online
TX00105,AC0057,2024-05-17,withdrawal,78543.22,ATM
TX00106,AC0140,2024-12-03,withdrawal,112087.24,ATM
TX00107,AC0033,2024-10-17,deposit,36563.25,Branch
TX00108,AC0130,2024-05-05,deposit,94314.14,ATM
TX00109,AC0077,2024-01-11,withdrawal,115389.72,Mobile App
TX00110,AC0291,2024-06-23,deposit,72412.38,Online
TX00111,AC0056,2024-06-05,transfer,38049.57,Branch
TX00112,AC0301,2024-04-12,transfer,100640.52,Branch
TX00113,AC0050,2024-07-13,transfer,93880.57,Online
TX00114,AC0167,2024-01-24,withdrawal,53853.66,Online
TX00115,AC0273,2024-06-19,transfer,34522.86,ATM
TX00116,AC0354,2024-02-09,deposit,84991.26,Online
TX00117,AC0119,2024-07-29,deposit,31141.42,Mobile App
TX00118,AC0274,2024-02-07,deposit,102303.63,Mobile App
TX00119,AC0368,2024-03-10,withdrawal,110834.66,Online
TX00120,AC0190,2024-02-19,deposit,38840.25,Mobile App
TX00121,AC0062,2024-05-23,transfer,134018.86,ATM
TX00122,AC0175,2024-05-01,deposit,14479.77,Branch
TX00123,AC0406,2024-11-02,withdrawal,7103.5,Branch
TX00124,AC0278,2024-03-26,deposit,138971.12,Mobile App
TX00125,AC0419,2024-04-20,transfer,133176.51,ATM
TX00126,AC0046,2024-09-14,withdrawal,138759.25,Branch
TX00127,AC0001,2024-08-06,withdrawal,140230.9,Mobile App
TX00128,AC0285,2024-12-22,deposit,4521.46,ATM
TX00129,AC0322,2024-10-19,deposit,100261.14,Online
TX00130,AC0089,2024-03-21,withdrawal,110752.51,Online
TX00131,AC0101,2024-04-17,withdrawal,20327.91,Mobile App
TX00132,AC0032,2024-12-04,transfer,34230.96,Online
TX00133,AC0017,2024-03-01,withdrawal,55313.04,Branch
TX00134,AC0428,2024-12-17,transfer,23512.46,ATM
TX00135,AC0427,2024-03-22,transfer,57023.88,Online
TX00136,AC0192,2024-01-18,deposit,102823.73,Mobile App
TX00137,AC0056,2024-02-13,deposit,32161.88,Online
TX00138,AC0213,2024-02-25,transfer,34773.94,Online
TX00139,AC0137,2024-12-31,withdrawal,133015.04,Online
TX00140,AC0425,2024-10-31,withdrawal,143065.91,Mobile App
TX00141,AC0089,2024-11-08,transfer,42236.72,Branch
TX00142,AC0311,2024-04-19,deposit,29842.31,Branch
TX00143,AC0193,2024-10-01,transfer,139123.51,ATM
TX00144,AC0408,2024-12-21,deposit,135174.23,Online
TX00145,AC0378,2024-12-24,deposit,84229.69,Mobile App
TX00146,AC0466,2024-11-28,deposit,8398.34,Online
TX00147,AC0276,2024-04-28,deposit,36452.2,ATM
TX00148,AC0261,2024-11-06,deposit,36603.46,ATM
TX00149,AC0174,2024-09-25,deposit,39318.9,Branch
TX00150,AC0282,2024-03-10,deposit,7080.78,Mobile App
TX00151,AC0436,2024-04-15,deposit,120529.07,Online
TX00152,AC0358,2024-11-21,deposit,77934.28,Mobile App
TX00153,AC0037,2024-08-04,deposit,110792.3,Branch
TX00154,AC0236,2024-03-25,withdrawal,148916.41,Branch
TX00155,AC0016,2024-01-17,deposit,117117.11,ATM
TX00156,AC0442,2024-01-16,deposit,48713.24,ATM
TX00157,AC0043,2024-12-18,withdrawal,72376.59,ATM
TX00158,AC0225,2024-10-02,withdrawal,9058.51,ATM
TX00159,AC0369,2024-03-17,withdrawal,47270.18,ATM
TX00160,AC0407,2024-09-15,withdrawal,113003.14,Branch
TX00161,AC0082,2024-02-13,deposit,90252.07,Mobile App
TX00162,AC0148,2024-09-08,deposit,23011.3,Branch
TX00163,AC0257,2024-11-14,deposit,47459.99,Mobile App
TX00164,AC0021,2024-09-16,transfer,70363.26,ATM
TX00165,AC0307,2024-01-26,deposit,99474.55,Online
TX00166,AC0194,2024-06-25,withdrawal,13758.94,Branch
TX00167,AC0272,2024-03-17,transfer,56969.32,ATM
TX00168,AC0121,2024-07-30,deposit,119756.17,Online
TX00169,AC0165,2024-07-08,deposit,55248.49,Online
TX00170,AC0402,2024-10-22,transfer,109575.15,ATM
TX00171,AC0321,2024-08-28,deposit,61306.42,Online
TX00172,AC0211,2024-11-04,transfer,92904.62,ATM
TX00173,AC0396,2024-11-15,deposit,19302.12,ATM
TX00174,AC0138,2024-01-25,deposit,129855.07,Branch
TX00175,AC0428,2024-09-27,deposit,133585.65,ATM
TX00176,AC0134,2024-11-16,withdrawal,144341.73,Online
TX00177,AC0281,2024-08-30,transfer,132127.87,Online
TX00178,AC0265,2024-04-09,transfer,107868.12,Online
TX00179,AC0271,2024-11-27,deposit,60256.45,Online
TX00180,AC0080,2024-12-10,deposit,21654.39,Mobile App
TX00181,AC0317,2024-12-13,withdrawal,109035.45,Branch
TX00182,AC0209,2024-06-01,deposit,3596.05,Mobile App
TX00183,AC0388,2024-03-07,withdrawal,108476.3,Mobile App
TX00184,AC0110,2024-02-23,withdrawal,144135.66,Branch
TX00185,AC0043,2024-08-24,deposit,123394.52,Branch
TX00186,AC0485,2024-11-19,transfer,23922.47,Branch
TX00187,AC0388,2024-05-28,deposit,28395.07,Online
TX00188,AC0370,2024-12-11,withdrawal,51319.64,Online
TX00189,AC0151,2024-04-08,deposit,100465.32,Mobile App
TX00190,AC0194,2024-06-06,transfer,118918.02,Branch
TX00191,AC0263,2024-10-21,deposit,115919.52,ATM
TX00192,AC0189,2024-05-03,deposit,124647.14,Branch
TX00193,AC0170,2024-03-09,transfer,91709.24,ATM
TX00194,AC0345,2024-12-18,withdrawal,6112.38,ATM
TX00195,AC0437,2024-05-29,withdrawal,31093.66,Online
TX00196,AC0107,2024-06-30,withdrawal,124364.57,Branch
TX00197,AC0301,2024-06-10,deposit,59510.64,Online
TX00198,AC0414,2024-03-13,deposit,13963.62,Mobile App
TX00199,AC0270,2024-08-26,deposit,81884.5,Online
TX00200,AC0124,2024-10-30,deposit,94815.6,Online
TX00201,AC0253,2024-04-20,deposit,61046.68,Branch
TX00202,AC0116,2024-01-21,transfer,128294.62,ATM
TX00203,AC0490,2024-02-12,transfer,113880.55,Branch
TX00204,AC0200,2024-02-18,transfer,144130.62,Mobile App
TX00205,AC0399,2024-10-09,deposit,2095.46,Online
TX00206,AC0107,2024-01-14,deposit,88120.5,Branch
TX00207,AC0399,2024-07-31,deposit,82686.19,ATM
TX00208,AC0126,2024-12-18,transfer,50410.87,Mobile App
